Product ID,Product Name,Category,Status,Total Stock,Minimum Stock,Date Received,Expired Date,Location,Supplier
INF-00001,Perform Research,instant food,available,116,69,2024-11-27,2025-03-27,D4,Collins LLC
MT-00002,Person Music,meat,available,3,83,2024-12-12,2025-08-25,C1,Brooks Inc
FNV-00003,Tonight Back,fruit & vegetables,available,419,76,2024-12-02,2025-05-29,D2,"Bowers, Juarez and Johnson"
MED-00004,Heavy None,medicine,low stock,401,69,2025-04-19,2025-11-22,D5,Moore-Harrison
STA-00005,Expert History,stationery,available,499,23,2025-02-24,2025-08-25,B3,Wright-Rice
VIT-00006,Speak Spring,vitamin,available,4,70,2025-04-24,2025-11-23,A4,"Carr, Ho and Martinez"
STA-00007,Mouth Door,stationery,available,178,13,2025-03-09,2025-08-08,A3,Vargas LLC
STA-00008,Recently Rock,stationery,close to exp,212,72,2025-03-23,2025-08-10,D1,Anderson and Sons
DRY-00009,Want Sport,dairy,close to exp,212,27,2025-02-02,2025-12-03,B2,Stewart LLC
MT-00010,Point Step,meat,available,313,83,2025-01-20,2025-07-04,D5,Smith and Sons
STA-00011,Mrs Chance,stationery,available,284,21,2025-02-17,2025-09-18,D3,Rodriguez-Wright
VIT-00012,Away Brother,vitamin,available,271,75,2025-05-09,2025-11-16,D2,Moody PLC
BVG-00013,Visit Wall,beverage,close to exp,75,74,2024-12-28,2025-03-10,D1,"Walker, Marshall and Hall"
PC-00014,Speech North,personal care,available,460,81,2024-12-14,2025-01-14,A1,Miller-Taylor
INF-00015,Avoid Early,instant food,low stock,132,79,2024-11-21,2025-05-16,D2,Collins LLC
MED-00016,Then Chance,medicine,low stock,107,80,2024-11-20,2025-07-17,A1,Elliott Inc
VIT-00017,Plant American,vitamin,available,209,43,2025-03-10,2025-09-10,B2,Lindsey Inc
MED-00018,Ok Each,medicine,low stock,389,93,2025-02-23,2026-01-03,A1,Powell-Martinez
INF-00019,Wear Away,instant food,out of stock,439,75,2025-04-27,2025-11-17,B4,Jones-Santiago
SSN-00020,Role Factor,seasoning,available,149,82,2025-01-06,2025-02-10,B3,Rowe Group
STA-00021,Note Yard,stationery,low stock,10,84,2025-02-07,2025-09-11,D2,Wright Inc
SF-00022,Whether Possible,staple food,available,81,28,2025-03-17,2025-12-24,C1,Wright-Rice
SNK-00023,Whole Say,snacks,out of stock,167,25,2025-01-10,2025-08-24,C2,Mora and Sons
VIT-00024,Pm Nice,vitamin,available,230,41,2025-02-25,2025-07-15,A3,Marquez and Sons
STA-00025,Somebody Summer,stationery,available,176,71,2025-01-20,2025-05-19,B5,Price LLC
INF-00026,But Instead,instant food,available,217,50,2025-02-24,2025-09-23,A3,Schwartz LLC
INF-00027,Agent Opportunity,instant food,available,179,47,2025-02-23,2025-10-10,D4,"Silva, Clark and Calhoun"
BVG-00028,Remember Water,beverage,out of stock,342,66,2024-12-14,2025-06-17,D4,Alvarez-Huff
HP-00029,Quality Financial,household product,available,143,13,2024-12-03,2025-01-05,A5,Pitts-Martin
DRY-00030,Which Start,dairy,available,476,36,2024-11-18,2025-11-15,A3,Lindsey Inc
SF-00031,Tree Meeting,staple food,available,197,81,2025-03-30,2025-06-17,A1,Williamson and Sons
FNV-00032,Beyond Story,fruit & vegetables,available,43,58,2025-04-04,2025-05-13,C4,Clark Ltd
MED-00033,Value Onto,medicine,available,253,51,2025-02-05,2025-03-13,A3,Humphrey Group
SNK-00034,Reality Question,snacks,available,359,50,2025-05-12,2025-08-11,B1,Rowe Group
