Invoice id,product name,category,product id,supplier,date,unit total
INV-20250515-080,Frozen French Fries (1kg),frozen food,FZF018,CV. Kentang Prima,2025-05-15,85
INV-20250515-081,Lasagna (Frozen),instant food,INF016,PT. Italia Mia,2025-05-15,130
INV-20250515-082,Mozzarella Cheese (200g),dairy,DRY017,Koperasi Keju Italia,2025-05-15,120
INV-20250515-083,Turkey Slices (250g),meat,MT016,PT. Unggas Sehat,2025-05-15,70
INV-20250515-084,Air Freshener (Spray),household product,HP015,PT. Udara Segar,2025-05-15,75
INV-20250515-085,Facial Wash (100ml),personal care,PC012,PT. Wajah Bersih,2025-05-15,90
INV-20250515-086,Pain Relief Cream,medicine,MED012,Apotek Nyaman,2025-05-15,190
INV-20250515-087,Omega-3 Fish Oil,vitamin,VIT014,PT. Laut Sehat,2025-05-15,220
INV-20250515-088,Highlighter (Single),stationery,STA014,Toko Warna Warni,2025-05-15,35
INV-20250515-089,Cumin Powder,seasoning,SSN014,PT. Rempah Timur,2025-05-15,60
INV-20250515-090,Strawberries (250g),fruit & vegetables,FNV015,UD. Berry Manis,2025-05-15,100
INV-20250515-091,Whole Wheat Bread,staple food,SF020,PT. Roti Sehat,2025-05-15,80
INV-20250515-092,Fruit Juice Blend,beverage,BVG024,PT. Jus Campur,2025-05-15,155
INV-20250515-093,Rice Crackers (100g),snacks,SNK023,UD. Renyah Gurih,2025-05-15,125
INV-20250515-094,Frozen Dumplings (Chicken),frozen food,FZF021,CV. Dimsum Lezat,2025-05-15,95
INV-20250515-095,Nasi Goreng Instant,instant food,INF019,PT. Rasa Nusantara,2025-05-15,240
INV-20250515-096,Shredded Cheese (200g),dairy,DRY020,Koperasi Cheddar,2025-05-15,105
INV-20250515-097,Beef Sausages (500g),meat,MT019,PT. Daging Sapi Prima,2025-05-15,85
INV-20250515-098,Multi-Surface Cleaner,household product,HP018,PT. Bersih Segala,2025-05-15,90
INV-20250515-099,Hand Soap (Liquid),personal care,PC015,PT. Tangan Bersih,2025-05-15,70
INV-20250515-100,Band-Aids (Box),medicine,MED015,Apotek Cepat Sembuh,2025-05-15,165
INV-20250515-101,Zinc Supplement,vitamin,VIT017,PT. Daya Tahan,2025-05-15,195
INV-20250515-102,Correction Tape,stationery,STA017,Toko Koreksi Rapi,2025-05-15,45
INV-20250515-103,Turmeric Powder,seasoning,SSN017,PT. Kunyit Jaya,2025-05-15,55
